review_id,review_title,review_date,review_rating,review_content,review_location
65b79668fe7df3406ad9f7ef,Poor after sales service…,2023-12-29,3,"The after sales service isn't very good, l purchased a 2nd chair the end of December 23 for my daughters 40th birthday in February. I rang gardens4less to ask if there were any problems when opened in February would l be able report any problems with the chair and l was told no  you need to open the chair now.As I have purchased items from this store before and never had any problems l just put the phone down and not impressed.",GB
65a942e444dca17cfc0b41ef,Garden table just what I've been looking for.,2024-01-18,5,Delighted to find a firm which sold the Hartman Amalfi 6-seater garden table separtely as I didn't want the full set with chairs.  Prompt delivery and the driver was very helpful.  The included instructions for assembly were hopeless but I managed to find someone who could do it for me!  Very happy with the product - thank you.,GB
6591d53fbd1afb47dc87b687,Incredible delivery service,2023-11-27,5,Bought a breakable item as a Christmas gift and it arrived very swiftly and incredibly packaged to ensure that it did not get damaged in transit. We will be using the straw for many other garden activities!,GB
65991ee83d125f8a26a360c9,Great product,2023-12-08,5,"I ordered the rhubarb forcer and it is such good value for money compared to everywhere else. It was packaged very well, be prepared for lots of straw! This was a gift and it was very much appreciated.",GB
6585db28bbbb2e2fcb0fabb3,Excellent after sales service,2023-12-20,5,"Having recently purchased a cover for our garden table and chairs, it was very disappointing to discover a tear along the centre seam.  Following my telephone call to Garden4Less, I was asked to submit photos and, within an incredibly short amount of time, I was assured a replacement cover would arrive within 48 hours...and… within 48 hours of flagging up the problem, the replacement has arrived.This is certainly exceptionally impressive, prompt and decisive service.Faultless!!!",GB
65b2706d50d89e1963f78cd0,Absolutely fab service and Christmas purchase very quick…,2023-12-23,5,Absolutely fab service and very quick delivery definitely be using again,GB
658f33d1112aa49b3dd3a096,Very good after sales advice,2023-12-01,5,Very good after sales advice. Delivery driver very considerate and hid delivery out of sight of main road.,GB
6555e4a71153aebfd7f0b519,Ooops Pallet Delivery!!,2023-10-20,3,I didn’t read the part were these were delivered on a pallet.  I didn’t have anyone to help when the chairs arrived   It was absolutely throwing it down with rainThe delivery driver just put them on my pathThe boxes got absolutely soaked !!They are still in my garage unpackedDisappointing experience,GB
65534faea08ea485dd37d6d1,Garden furniture cover arrived promptly…,2023-11-01,5,Garden furniture cover arrived promptly - Hartman Heritage Bistro Set CoverProduct Code : 60202101The cover has been in use for a few weeks now and is holding up well in the current stormy wet weather. I am so glad we bought it.,GB
647f9d5bdc2ebb945e5259ee,Fantastic product at a great price,2023-05-27,5,"We purchased a lovely Kettler garden sofa set at a great price compared to other stockists (£500 saving). Had a slight problem with delivery date, which I’d put down to distribution centre rather than Garden4less. Overall very happy with our purchase & wouldn’t hesitate to order from this company again.",GB
648b1598468689bc1d9b4535,Really pleased with our Hartman Amalfi…,2023-04-07,5,Really pleased with our Hartman Amalfi 8 seat dining set. Online ordering was easy and delivery arrived on promised timescale in early April with good communication ahead of delivery.  Very well packed. Online assembly instructions really helpful.Delayed writing this review until Summer arrived because initially weather meant we weren’t using the furniture.Now we’ve used it we can confirm seats are very comfortable and we hope to have many years of use - table and chairs seems strong and sturdy.Much admired by visitors. Definitely recommend both the product and the company.,GB
64e878c4b2645f97fc3cdd5b,Easy to order and arrived safely…,2023-08-04,5,Easy to order and arrived safely packaged. Very pleased with purchase as it works well so I can keep the two hosepipes attached to the tap and can fill my watering can too. The water flow dials are easy for me to turn and being able to leave on tap stops damage to the hose connectors with the previous attaching and detaching and helps with my limited strength in my hands.,GB
655742f9323bd21326c5441a,Excellent seller,2023-10-16,5,"Ordering was easy, delivery was quick and the items arrived well packed and in good condition. There was nothing to complain about and would order again from this company. Thank you Garden4less.",GB
649aabb1edc28d2ced922ea5,Need to exchange faulty Hozelock Auto…,2023-06-23,1,"Need to exchange faulty Hozelock Auto reel where manufacturer cannot be bothered to make internal hose connection correctly - total incompetence. This is a common problem with manufacture. Promised replacement this week but not yet dispatched. Shockingly poor service, so far needed 3 emails and 2 phone calls. So it is a busy time of year, we are all busy",GB
6527ed9d257e7c6458cd6878,Great purchase,2023-10-12,5,"The purchasing process was very good from start to finish. The only possible issue was what would have happened if we’d been out? We were supposed to be advised when the delivery was due. We never received call, but luckily we’d just got back in. The driver said everyone says that!!",GB
6454c104cb3ac00be29de3c1,👍👍👍👍Ecellent experience,2023-05-04,5,Excellent experience. Had already decided what garden dining furniture we wanted and found Garden4less was best price. We wanted a slight change to colour of parasol and cushions so started on live chat to discuss before they then rang me and we organised the deal. Very helpful friendly chap who sounded knowledgeable and mature. Offered good advice on choices. Paid extra £5 for delivery day we wanted. Purchased on a Tuesday and delivered on the Thursday.  No dramas. Purchased Hartman set which whilst expensive is well made. Would use again.,GB
64a409813c876076ea48e110,Received faulty garden set in May.,2023-07-04,1,"Received faulty garden set in May.. have contacted the company many times and just being fobbed off. Cannot use one of the seat cushions as badly stitched and one of the chair legs have started unravelling, ( woven) Hartman Bistro set, it's now July and still no response.Next step Trading Standards?They suggested I contact them via phone which I did 10 days ago..empty promises..obviously still not interested in my faulty garden set, very keen to take my money…very upset and disappointed…really do need to take this further…",GB
64fb0ca66b2c23bb703b2586,Perfect Garden Statue,2023-08-07,5,"This lovely statue came to us in perfect condition and looked exactly as it did on the website.  The detail is remarkable with no blemishes.  Customer Service was very good, answering all my queries quickly and clearly. Next time I am looking to add something to my garden I will be looking at Garden4less first!",GB
652912ceb37d95553be57230,Hartman dining table and chairsThe customer service was superb,2023-09-09,5,Loved the website very easy to use and buy productsThe customer service was superb - delivered on time on the date plannedThe Hartman furniture that we bought we love the quality is the best and at a very competitive priceHave recommended your company to friends,GB
64956bcc770ece2bad463383,Competitive pricing and good service!,2023-06-23,5,Bought a garden set with parasol and base (best price!).  The set arrived well packaged and on time - unfortunately the base had been missed from the order.  Had to hold for just a little while on the phone for customer service - but it’s summer and they’re understandably busy - explained the issue. No proof was required - just my word. Email confirming base would be delivered the following day was received within an hour and the base duly arrived.  Mistakes happen - could not have done more to rectify asap.,GB
6555e4a71153aebfd7f0b519,Ooops Pallet Delivery!!,2023-10-20,3,I didn’t read the part were these were delivered on a pallet.  I didn’t have anyone to help when the chairs arrived   It was absolutely throwing it down with rainThe delivery driver just put them on my pathThe boxes got absolutely soaked !!They are still in my garage unpackedDisappointing experience,GB
6554b5f833e761e09f018a27,Great price for what we bought,2023-10-10,4,"Great price for what we bought, ready assembled.  Return item no damage to it that we could see.  Savedabout 90 quid",GB
65534faea08ea485dd37d6d1,Garden furniture cover arrived promptly…,2023-11-01,5,Garden furniture cover arrived promptly - Hartman Heritage Bistro Set CoverProduct Code : 60202101The cover has been in use for a few weeks now and is holding up well in the current stormy wet weather. I am so glad we bought it.,GB
6540e6bdb0d80e95a41f7997,A good looking product,2023-10-29,4,"A good looking product, well packaged. The two seater bench cover seems a little big. The quality will tell after the winter.",GB
653101400c77345ed97b3ff6,A quality product for a very good price.,2023-09-17,5,"A quality product for a very good price. Fast free delivery, no complaints at all. I would not hesitate to use the company again.",GB
652bbbf5615199e6621cf62c,Really spacious piece of kit,2023-09-06,5,Great additional piece-garden furnitures so roomy for all cushions plus a bit extra,GB
652a4efeca362725042eac30,Excellent after sales service,2023-09-26,5,"We ordered a set of Hartman table, chairs and parasol. Unfortunately the order arrived without the parasol base. I contacted customer services who were excellent and a base was sent out the following day. Unfortunately the concrete base arrived but it was broken in half. I contacted customer service and again they were extremely helpful and a replacement was sent which this time arrived intact. We then noticed one of the chairs was cracked. I spoke to William Bourne who was very helpful, I emailed a photo and he arranged a replacement which was delivered the next day.I think we were very unlucky to have so many issues with our order but the customer service was so exceptional I would not hesitate to buy from them again or recommend to friends and family. Thank you.",GB
652918f538ed110d7eb408d4,Quick delivery,2023-10-01,5,"Quick delivery. Nice table, easy to put together, perfect for the small space we had for it!No dramas, easy to order! What's not to like?",GB
652912ceb37d95553be57230,Hartman dining table and chairsThe customer service was superb,2023-09-09,5,Loved the website very easy to use and buy productsThe customer service was superb - delivered on time on the date plannedThe Hartman furniture that we bought we love the quality is the best and at a very competitive priceHave recommended your company to friends,GB
6527ed9d257e7c6458cd6878,Great purchase,2023-10-12,5,"The purchasing process was very good from start to finish. The only possible issue was what would have happened if we’d been out? We were supposed to be advised when the delivery was due. We never received call, but luckily we’d just got back in. The driver said everyone says that!!",GB
6527e8eb0691f7e3a9ec2ff6,Very positive purchase,2023-09-08,5,Everything went smoothly from ordering to delivery.  There was plenty of choice on the website and I look forward to ordering from here again.,GB
6522ef560b6fdee47a36ee89,The package was delivered damaged and a…,2023-09-15,1,"The package was delivered damaged and a replacement was not offered, just the broken end cap, which after chasing did arrive, but did not solve the problem.",GB
65155406817b4b4eefce0408,Excellent service,2023-08-30,5,"Excellent service.Item is excellent , great sound , amazing price.Highly recommended",GB
6511b1da2da0c950b7408bbd,All-Round Excellent,2023-09-25,5,"Quality product, excellent value and excellent service.",GB
651158825d96be2b1862ed3c,Great product and speedy delivery,2023-08-25,5,"Great product, very speedy delivery. Faultless",GB
650de5ceac8d340da3322bb5,The staff are amazing at sorting out…,2023-09-22,5,The staff are amazing at sorting out any issues we had purchased an egg chair that was damaged all sorted out after a call to them.All delivered and collected thanks again for your help.,GB
650d66d88b26d0bd24ddfb67,Delivery made as agreed,2023-08-19,5,"Delivery made as agreed. Delighted with product, no assemble required other than side table which was quick and easy. Product name Kettler Menos Versa Corner Sofa Set.",GB
65087608e9451b26bd02a5ed,Very pleased with our recent purchase…,2023-08-25,5,"Very pleased with our recent purchase from start to finish, would not hesitate to use again. Thank you.",GB
650573e947d439940e9b2d18,Chairs are as expected,2023-09-16,5,"Chairs are as expected and as advertised. They appear to be of excellent quality but, particularly as they are for use outside, a longer period of time is needed to fully evaluate.",GB
650426291da462ec5ac43887,Great quality product,2023-09-04,5,"Great quality product, great delivery,",GB
6502d6f4515ff0e397540b6a,Excellent products Speedy Delivery,2023-08-11,5,,GB
64fedf8e4581d6a51e9b1ab0,Excellent product in all respects,2023-09-01,5,,GB
64fb22855042cf00a3646e94,Excellent service,2023-08-02,5,"Have ordered from this company many times and have always been happy with everything from products ordered to being kept upto date with delivery status ,would highly recommend",GB
64fb0ca66b2c23bb703b2586,Perfect Garden Statue,2023-08-07,5,"This lovely statue came to us in perfect condition and looked exactly as it did on the website.  The detail is remarkable with no blemishes.  Customer Service was very good, answering all my queries quickly and clearly. Next time I am looking to add something to my garden I will be looking at Garden4less first!",GB
