review_id,review_title,review_date,review_rating,review_content,review_location
65b115680916f543b1a389a3,Bad experience with marketplace seller,05/01/2024,2,"Unfortunately I had a bad experience which, on the one hand, was the seller's problem, on the other hand I see that Amazon is responsible because, apparently, they let anyone sell on their marketplace. I had an order for a tablet, which not only took almost 3 weeks to arrive, but also came with the wrong specifications. Amazon support said I should resolve it directly with the seller and the seller simply doesn't respond.",US
65afdb177d8134ffaae6549a,I always buy products from Amazon,01/01/2024,1,"I always buy products from Amazon, BUT if there's a delay they usually don't update the shipping unless the carrier sends a email or txt to update when it's coming. And some of the customer service people are not helpful sometimes are they for real? And also the welfare program, most customers have snap cash ebt, but Amazon accepts food stamps ebt, why can't they accept both? It makes it much harder for customers who only have cash ebt to buy food especially if they have children.",US
65b02d374f07df2dd9dad8b5,"No help as usual, this time with the new “One medical”",23/01/2024,1,I buy products but getting any help is incredibly cumbersome. I tried reaching out to the new Amazon medical just to ask if they work with the Veteran's Administration. The chat line “ended” the chat before I even got the question out. I tried the chat a dozen times with 0 results. It’s obvious that Amazon doesn’t need our correspondence as we still buy thier products.,US
65b246b77650506acff6d3b2,Touching rock bottom in 2024,24/01/2024,1,"Amazon used to provide great service until 2023, this year I've noticed a lot of fake reviews. Also I've ordered a product and received something completely different of a lower price. Once I got charge for trainers without receiving a £50 refund. I've given a bad review to the seller and I got the following: We could not post your review because it focuses on one or more of these topics:SellersDeliveryPackagingPricingAvailabilitySo check the reviews very thoroughly when buying on Amazon these days - usually they refer to other products that have nothing to do with what you're buying.I'm sorry as I used to like this service",GB
65b252c6dbd119ab2c125594,Well,25/01/2024,4,"Well, y'all lot know what it is. It is the one-stop shop for pretty much everything innit?I am not here to talk about that tho. I am here to talk about the convenience factor that it has created in our lives. It is literally through the roof.I mean, you literally think of someting, ""amazon it"" (I use the term like ""google it"" here) and it can be at your doorstep threshold or in your hand in a matter of days. Selection is massive, options are endless across every sector or industry. Household appliances, consumer electronics, books, clothes, groceries, space crafts and asteroids.. well maybe not that far-fetched, yet.amazon prime's perks are pretty sweet as well, free shipping here, fast shipping there, access to prime video with a large inventory of tv shows, movies and series, prime music included.but the real deal where amazon puts itself forward is the customer service. whenever you have an issue with the product quality, how the seller has treated you, late delivery, or anything of the sorts, they've got your back, bruv.It is all about convenience, variety, reliability and customer satisfaction with these guys. I think they are definitely on the right path and they will be one of the milestone companies that will shape the future for the next generations to come.",DE
65ac2c434331d9fbcede82ce,shipping is expensive,04/01/2024,2,"Basic reasonable service for all customers spending their hard earned money on this site?  no. amazon literally looks for ways, to penalize those who don't have their prime"" subscription.also would have just gone to walmart had I known this would happen..placing a simple order for non custom items, then having to wait a week before arrival is unacceptable..",US
65b22b5e40aab522fcc13bbb,Customer service are useless,25/01/2024,1,"Customer service are useless.  Order placed specifically selecting Saturday.  Order confirmation email dates Saturday delivery, however my orders in the account shows being delivered on Friday when I won't be in.  Contacted chat, they say they only have an option for Friday, that the date you can select is just an estimate, but when I state I had the option to select a specific day they say oh maybe it will come on Saturday it doesn't show as shipped yet.  Still showing as Friday delivery in my account.  Useless.",GB
65afc6a44a12c8b47d15532a,On black Friday 24 November 2023,24/11/2023,1,"On black Friday 24 November 2023, I ordered 2x AquaSonic Black Series PRO - Ultra Whitening Toothbrush with UV Disinfectant Base - 4 Modes and Smart Timer - UV Disinfection and Charging Travel Case. 2 months later I still did not receive the date of delivery nor the toothbrushes. I understand the rush after black Friday and before Christmas, but 2 months is outrageous. Even though 2 months have passed I still have no information about when the shipment will be dispatched and when I can expect delivery. I am extremely angry with the lack of communication from Amazon's side, and neglecting of my order. Will initiate all procedures to secure my legally granted consumer rights.",HR
65afbd9bee24ac329898c032,Appalling Appalling Appalling…,23/01/2024,1,Appalling Managers and Zombies often Numpties = AMAZONApaulling: 9/10 deliveries to the same wrong address and 5 phone calls to tell them ...  and to what effect .. absolutely ZERO.The Amazon app tells the drivers to go to the wrong address!! Only one has bothered reading the address that is on the parcel! and they all lie about handing the parcel to the customer.Trust pilot need to get their act together and have a Zero stars category for people like this.,GB
65afdbe6b147c4bfc7047c5a,Refund issue,23/01/2024,1,Have ordered something but ordered the wrong brand (my husband's impact drill) sent it back and today just got a message they can`t pay my refund as they received the wrong item. How that could happen if I sent back exactly what I received??? They saying I am a liar and a thief and they will close my account if I am not sending the correct part back. Well done mazon.,GB
