review_id,review_title,review_date,review_rating,review_content,review_location,month_year,month_year_str,processed_review
65b356989fc6ec42f5d5e5ae,The order has arrived as promised,2024-01-25,4,"The order has arrived as promised. All was great, I was just surprised that the order will be dispatched from other country - as the website was in Bulgarian, I thought that the product is in local stock, so the delivery time was kind of disappointing - I ordered the product as a gift to a friend of mine, and it arrived after the date.",BG,2024-01,2024-01,"[ ' p r o m i s e d ' ,   ' g r e a t ' ,   ' s u r p r i s e d ' ,   ' b u l g a r i a n ' ,   ' l o c a l ' ,   ' d i s a p p o i n t i n g ' ,   ' o r d e r e d ' ]   [ ]"
65aed6b600af4883acaf8caf,"TIG (WIG) welder, model S-WIGMA 200PDC",2024-01-22,5,"I ordered a TIG (WIG) / MMA welder, model S-WIGMA 200PDC.1. Shipment to Austria was very quick, tracking and delivery by GLS perfect2. The Welding DeviceFirst welding tests with stick electrodes (MMA) were fine, ignition, arc stable.I measured the current with a Fluke clamp on meter and checked the deviation. At 100 and 110 Ampere the measured current was almost exactly the adjusted one.At lower current like 50 and 55 Ampere the measured current was slightly lower (~ 3 Amps).I think that's pretty good for such a nonprofessional device.No tests with TIG (WIG) welding so far, but planned for near future...3. Customer supportI had a few questions - prompt response, polite.But one thing I have to mention:An answer to a specific question was not correct:They said the plug has a 13 mm socket. After I received the device, I measured and it turned out it is a 9mm socket.Summary: a nice welder with advanced features and adjustments like pulse frequency, Hot start, Arc Force, etc. for a reasonable price.",AT,2024-01,2024-01,"[ ' t i g ' ,   ' q u i c k ' ,   ' d e v i c e f i r s t ' ,   ' f i n e ' ,   ' c u r r e n t ' ,   ' c u r r e n t ' ,   ' c u r r e n t ' ,   ' c u r r e n t ' ,   ' l o w e r ' ,   ' a m p s i ' ,   ' g o o d ' ,   ' n o n p r o f e s s i o n a l ' ,   ' s p e c i f i c ' ,   ' p l u g ' ,   ' s o c k e t s u m m a r y ' ,   ' n i c e ' ,   ' p u l s e ' ,   ' h o t ' ,   ' f o r c e ' ,   ' r e a s o n a b l e ' ]   [ ]"
65b21547adf5d0f2623c41c0,I would buy an electronic scale…I have no one to ask for advice regarding the use or replacement of the product.,2024-01-18,1,"I would buy an electronic scale (Counting scale - 6 kg / 0.1 g - battery) and I cannot use it. but worse, I have no one to ask for advice regarding the use or replacement of the product.The email is answered by an extremely stupid chatbot, without helping me with anything concrete.Lucian Vlagea",RO,2024-01,2024-01,"[ ' e l e c t r o n i c ' ,   ' s c a l e ' ,   ' w o r s e ' ,   ' u s e ' ,   ' s t u p i d ' ,   ' c o n c r e t e l u c i a n ' ]   [ ' e l e c t r o n i c ' ,   ' s c a l e ' ,   ' w o r s e ' ,   ' u s e ' ,   ' s t u p i d ' ,   ' c o n c r e t e l u c i a n ' ]"
65a3c4680208eaa47b381c4d,The product arrived on time all the…,2024-01-12,5,The product arrived on time all the assembly details were perfect made it very handy and clear great service well done,IE,2024-01,2024-01,"[ ' h a n d y ' ,   ' c l e a r ' ,   ' g r e a t ' ]   [ ]"
65a68b82126d92f1f9a4d330,Awesome experience,2024-01-15,5,Awesome experience. We had to use their customer support to fix our invoice data and they provided outstanding timing and support!,BG,2024-01,2024-01,"[ ' a w e s o m e ' ,   ' o u t s t a n d i n g ' ]   [ ]"
65b55dc3091e2ef131650500,"do not buy from this company at any cost, because you will be very sorry.",2024-01-27,1,"i bought a space heater from this company, it was delivered by UPS couriers, and it wouldn't work properly, so they sent me a return document to be brought back to them by GLS couriers and they said they repaired it and sent it back with GLS couriers, and they threw it over the gate onto the road and busted the back of the heater, i plugged it in and it was worse than when it came, i got back onto them and all they could offer me was a credit note if i returned it, i paid the UPS courier when he delivered it, i didn't give him a credit note, i contacted GLS couriers and we can only deal with expondo, get back onto them, and i did, only to get the same crap.So who the hell is going to pay for the damaged property. looks like nobody.So i say, do not buy from this company at any cost, because you will be very sorry.",IE,2024-01,2024-01,"[ ' u p s ' ,   ' g l s ' ,   ' g a t e ' ,   ' p l u g g e d ' ,   ' c o u r i e r ' ,   ' g i v e ' ,   ' g l s ' ,   ' e x p o n d o ' ]   [ ' u p s ' ,   ' g l s ' ,   ' g a t e ' ,   ' p l u g g e d ' ,   ' c o u r i e r ' ,   ' g i v e ' ,   ' g l s ' ,   ' e x p o n d o ' ]"
659fcc8b2e14391e7d9d5597,Good and fast delivery,2023-12-27,5,"Good and fast delivery of this amazing standing desk system, it was quite fast at very good price.",CZ,2023-12,2023-12,"[ ' g o o d ' ,   ' g o o d ' ]   [ ]"
65830d582df3bc042399e13d,Super fast shopping,2023-12-20,5,"Super fast shopping, I found my product quickly, no problems. all information I needed about technical parameters was available, so no need to get in touch with virtual assistant. I like this store.",PL,2023-12,2023-12,"[ ' s u p e r ' ,   ' t e c h n i c a l ' ,   ' a v a i l a b l e ' ,   ' t o u c h ' ,   ' v i r t u a l ' ]   [ ]"
65950136507439cdcbfaf53b,I bought a product from Expondo,2023-12-01,4,"I bought a product from Expondo, but it was not as described. I made a complain and they came with a solution that I am satisfied with. Thank you Expondo. Thumbs up ☺️",NO,2023-12,2023-12,"[ ' b o u g h t ' ,   ' t h a n k ' ]   [ ]"
65b38f09a6588366d0cc1cae,Straight forward,2024-01-26,5,"Straight forward, no fuss.",GB,2024-01,2024-01,[ ]   [ ]
